"                 /;.,   3 ",UFV,CNPJ,Unidade,Frente,Natureza,Portfólio,Fornecedor,Contrato original,Aditivo 1,Aditivo 2,Aditivo 3,Aditivo 4,Aditivo 5,Valor total,FD.Medido,Medição,FD+Medição,Saldo a Medir,Avanço Contratual%,"Pagamento? 
Sim / Não",OBS:
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Cercamento das bacias de contenção ciclo 2,Mori,A Definir,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Cercamento das bacias de contenção ciclo 2
1.0,Diamantina 1,MORI GERACAO II ,Mori II,3,Total,Mori,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Conexão AT - Obras,Mori,MBA,302420,0,0,0.0,0.0,0.0,302420.0,30000.0,272420.0,302420.0,0.0,1.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Conexão MT - Obras,Mori,MBA,733091.344,131490,492542.216,0.0,0.0,0.0,1357123.56,137032.22,1220091.3399999999,1357123.5599999998,0.0,0.9999999999999998,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Construção - Serviços de Construção,Mori,Implantar,2556450,157000,0,0.0,0.0,0.0,2713450.0,1642553.6400000001,1038444.77,2680998.41,32451.58999999985,0.9880404687759127,N,Em Processo Judicial
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Construção - Serviços de Construção - Substituição,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Construção - RDA Interno,Mori,Eletrocamp,700085,6400,7304.5454,0.0,0.0,0.0,713789.5499999999,0.0,713789.55,713789.55,0.0,1.0000000000000002,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Full EPC - Contrato,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Equipamentos Curva A - Outros (Transformadores),Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Equipamentos Curva A - Outros (Cabine + Skid),Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Equipamentos Curva A - Outros (Cabine + Skid + Transformador),Mori,Romagnole,1199784.688565514,0,0,0.0,0.0,0.0,1199784.688565514,0.0,1199784.688565514,1199784.688565514,0.0,1.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Desenvolvimento de projeto - Projetos - (Eng° Proprietario),Mori,LM Eng.,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Desenvolvimento de projeto - Projetos - Executivos,Mori,Enersolar,Feito com a GLD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Desenvolvimento de projeto - Projetos Básica,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Desenvolvimento de projeto - Projetos Detalhada,Mori,GLD,93783,34676.16,0,0.0,0.0,0.0,128459.16,0.0,128459.16,128459.16,0.0,1.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Desenvolvimento de projeto - Ambiental / Outros,Mori,Varios,163687.34,0,0,0.0,0.0,0.0,163687.34,0.0,163687.34,163687.34,0.0,1.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Desenvolvimento de projeto - Coordenograma,Mori, PROJETTI,6206.9,0,0,0.0,0.0,0.0,6206.9,0.0,6206.9,6206.9,0.0,1.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Sistemas de Monitoramento - Supervisório,Mori,ATI,136155,,0,0.0,0.0,0.0,136155.0,5821.02,130333.98000000001,136155.0,0.0,1.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Sistemas de Monitoramento - Estações Solarimétricas,Mori,Hukseflux  ,48276.516,0,0,0.0,0.0,0.0,48276.516,0.0,48276.516,48276.516,0.0,1.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Sistemas de Monitoramento - CFTV,Mori,Maxvision,261668.28,0,0,0.0,0.0,0.0,261668.28,0.0,261668.28,261668.28,0.0,1.0,,
2.0,Diamantina 2,MORI GERACAO II ,Mori II,3,Serviços Auxiliares - Drenagem,Mori,ORCI / Engetela,686107.5,164771.5,14900,1482339.75,0.0,0.0,2348118.75,686107.5,1604811.25,2290918.75,57200.0,0.9756400735695331,S,Drenagem Orci Aprovada
